Date,Open,High,Low,Close,Volume,Adj Close*,Log returns,Daily returns
26-Sep-08,11019,11168.1,10868.8,11143.1,2325600,11143.1,0.004741681,0.010977944
29-Sep-08,11139.6,11139.9,10365.5,10365.5,3859400,10365.5,-0.031415772,-0.069783094
30-Sep-08,10371.6,10868.9,10371.4,10850.7,3197700,10850.7,0.0198675,0.046809126
1-Oct-08,10847.4,10882.5,10632,10831.1,2566700,10831.1,-0.000785191,-0.001806335
2-Oct-08,10825.5,10825.5,10439.5,10482.9,3953300,10482.9,-0.014191123,-0.032148166
3-Oct-08,10484,10796.3,10310.3,10325.4,2996900,10325.4,-0.006574558,-0.015024468
6-Oct-08,10322.5,10322.8,9525.3,9955.5,3914600,9955.5,-0.015843808,-0.035824278
7-Oct-08,9955.4,10124,9436.7,9447.1,3625200,9447.1,-0.022764564,-0.051067249
8-Oct-08,9437.2,9628.1,9194.8,9258.1,4792700,9258.1,-0.008776645,-0.020006139
9-Oct-08,9261.7,9448.1,8579.2,8579.2,4367400,8579.2,-0.033075075,-0.073330381
10-Oct-08,8568.7,8901.3,7882.5,8451.2,6749200,8451.2,-0.006528413,-0.014919806
13-Oct-08,8462.4,9428,8462.2,9387.6,3992900,9387.6,0.045636197,0.110800833
14-Oct-08,9389,9794.4,9085.4,9311,4127400,9311,-0.00355825,-0.0081597
15-Oct-08,9301.9,9308.8,8530.1,8577.9,3743500,8577.9,-0.035615348,-0.07873483
16-Oct-08,8577,9013.3,8197.7,8979.3,4224500,8979.3,0.019861503,0.04679467
17-Oct-08,8975.4,9281.1,8718.3,8852.2,3606000,8852.2,-0.006191264,-0.014154778
20-Oct-08,8852.3,9266.6,8852.2,9265.4,2414000,9265.4,0.019812956,0.046677662
21-Oct-08,9262.8,9284.6,9004.3,9033.7,2311600,9033.7,-0.010998509,-0.025007015
22-Oct-08,9027.8,9027.8,8335.3,8519.2,3488400,8519.2,-0.02546685,-0.056953408
23-Oct-08,8519.8,8796,8243.6,8691.3,3407400,8691.3,0.008685927,0.020201427
24-Oct-08,8683.2,8683.2,8187.5,8379,3356800,8379,-0.01589255,-0.035932484
27-Oct-08,8375.9,8599.1,8143.6,8175.8,2811800,8175.8,-0.010661931,-0.024251104
28-Oct-08,8178.7,9082.1,8174.7,9065.1,3721600,9065.1,0.04484234,0.10877223
29-Oct-08,9062.3,9363.3,8890.3,8991,3162300,8991,-0.003564602,-0.008174207
30-Oct-08,9004.7,9266.5,8976.9,9180.7,2672100,9180.7,0.009067798,0.021098877
31-Oct-08,9179.1,9454.4,9119.2,9325,3109500,9325,0.006773044,0.015717756
3-Nov-08,9326,9410.6,9255.5,9319.8,1809700,9319.8,-0.000242248,-0.000557641
4-Nov-08,9323.9,9654,9323.9,9625.3,2549300,9625.3,0.014007682,0.032779673
5-Nov-08,9616.6,9616.6,9111.5,9139.3,2646400,9139.3,-0.022501341,-0.050491933
6-Nov-08,9134,9155.4,8637.2,8695.8,3443500,8695.8,-0.021603391,-0.048526692
7-Nov-08,8696,8961.6,8696,8943.8,2463000,8943.8,0.012212536,0.028519515
10-Nov-08,8946.6,9159.6,8760.5,8870.5,2212300,8870.5,-0.003573979,-0.008195622
11-Nov-08,8864.3,8867.9,8560.7,8694,2572700,8694,-0.008728464,-0.019897413
12-Nov-08,8684.5,8684.6,8265.3,8282.7,3146600,8282.7,-0.021047704,-0.047308489
13-Nov-08,8281.1,8876.6,7965.4,8835.3,4766000,8835.3,0.028049369,0.066717375
14-Nov-08,8822.2,8923.2,8470,8497.3,3043700,8497.3,-0.016940349,-0.038255634
17-Nov-08,8494.8,8571.3,8246.9,8273.6,2782200,8273.6,-0.011586431,-0.026326009
18-Nov-08,8273.3,8478,8105.4,8424.8,3663900,8424.8,0.007865079,0.018274995
19-Nov-08,8420.7,8504.6,7987.1,7997.3,3504700,7997.3,-0.022616212,-0.050743044
20-Nov-08,7995.5,8187.4,7507,7552.3,5281300,7552.3,-0.024864155,-0.05564378
21-Nov-08,7552.4,8071.8,7449.4,8046.4,5690100,8046.4,0.027522385,0.065423778
24-Nov-08,8048.1,8599,8048.1,8443.4,4918900,8443.4,0.020915746,0.049338835
25-Nov-08,8445.1,8607.4,8281.5,8479.5,3740200,8479.5,0.00185288,0.004275529
26-Nov-08,8464.5,8726.6,8311.2,8726.6,2839200,8726.6,0.012474825,0.029140869
28-Nov-08,8724.7,8831.4,8672.7,8829,1555100,8829,0.005066447,0.011734238
1-Dec-08,8826.9,8827.1,8141.4,8149.1,3210100,8149.1,-0.03480187,-0.077007589
2-Dec-08,8153.8,8437.2,8143.5,8419.1,3075200,8419.1,0.014156021,0.033132493
3-Dec-08,8409.1,8624.2,8234.2,8591.7,2946800,8591.7,0.008813436,0.020501004
4-Dec-08,8587.1,8632,8259.4,8376.2,2808800,8376.2,-0.011032066,-0.025082347
5-Dec-08,8376.1,8686.5,8118.5,8635.4,3463700,8635.4,0.013235421,0.03094482
8-Dec-08,8637.7,9026.4,8637.5,8934.2,3589700,8934.2,0.014773211,0.034601756
9-Dec-08,8934.1,8934.1,8651.7,8691.3,2849500,8691.3,-0.011970929,-0.027187661
10-Dec-08,8693,8879.2,8646.3,8761.4,2328300,8761.4,0.003488768,0.008065537
11-Dec-08,8750.1,8809.5,8512.8,8565.1,2905400,8565.1,-0.009841071,-0.022405095
12-Dec-08,8563.1,8682.6,8347.8,8629.7,2710300,8629.7,0.00326326,0.007542235
15-Dec-08,8628.8,8676.3,8469,8564.5,2299400,8564.5,-0.003293685,-0.007555303
16-Dec-08,8565.7,8958.8,8565.7,8924.1,3371900,8924.1,0.017862414,0.041987273
17-Dec-08,8921.9,8961.3,8778.1,8824.3,2392600,8824.3,-0.004884164,-0.011183201
18-Dec-08,8823.9,8883.4,8527.4,8605,2740800,8605,-0.01092939,-0.02485183
19-Dec-08,8606.5,8787.2,8550.4,8579.1,5501500,8579.1,-0.001309145,-0.003009878
22-Dec-08,8573.4,8601.4,8372,8519.7,2110900,8519.7,-0.003017428,-0.006923803
23-Dec-08,8518.7,8604.1,8391.3,8419.5,1746400,8419.5,-0.005138001,-0.011760977
24-Dec-08,8416.9,8498.5,8416.9,8468.5,669300,8468.5,0.002520191,0.005819823
26-Dec-08,8468.7,8533.1,8461.8,8515.6,867600,8515.6,0.002408761,0.005561788
29-Dec-08,8515.9,8530.7,8364.1,8483.9,1537300,8483.9,-0.001619712,-0.00372258
30-Dec-08,8487.5,8675.2,8487.5,8668.4,1625600,8668.4,0.009343403,0.021747074
31-Dec-08,8666.5,8842.7,8664.9,8776.4,2267600,8776.4,0.005377465,0.012459047
